id,name,audiance,open_day,duration,genres,image,watch_grade,actors
148,시카리오: 데이 오브 솔다도,208131,20180627,122,"[4, 12, 2]",https://movie-phinf.pstatic.net/20180604_50/1528074884302BdLlf_JPEG/movie_image.jpg,15,"[845, 934, 940, 998]"
149,오션스8,1326792,20180613,110,"[4, 12]",https://movie-phinf.pstatic.net/20180523_198/1527043468389JEplc_JPEG/movie_image.jpg,12,"[1188, 729, 1057, 154, 1218]"
150,독전,5053105,20180522,123,"[12, 4]",https://movie-phinf.pstatic.net/20180524_197/1527129752646aGAH7_JPEG/movie_image.jpg,15,"[1307, 672, 1292, 246, 416, 1270, 67, 759, 513, 119]"
151,여중생A,88662,20180620,114,[2],https://movie-phinf.pstatic.net/20180524_39/1527137544241WO6aW_JPEG/movie_image.jpg,12,"[495, 680, 679, 283, 1359, 930, 888, 297, 862]"
152,아이 필 프리티,213596,20180606,109,[7],https://movie-phinf.pstatic.net/20180601_276/1527835091787c3BdN_JPEG/movie_image.jpg,15,"[644, 450]"
153,아일라,23712,20180621,123,"[2, 19]",https://movie-phinf.pstatic.net/20180524_108/1527129319423XRTcI_JPEG/movie_image.jpg,15,"[885, 850]"
154,아바타,13325055,20091217,161,"[9, 4, 8]",,12,"[1467, 402, 295]"
155,유전,167760,20180607,127,[0],https://movie-phinf.pstatic.net/20180528_105/15274709547768rnih_JPEG/movie_image.jpg,15,"[1339, 562, 1109]"
156,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,173368,20180606,90,[20],https://movie-phinf.pstatic.net/20180521_175/15268795940605MsWi_JPEG/movie_image.jpg,0,"[535, 816, 307, 836, 485, 872, 760, 344, 263, 1140, 865]"
157,데드풀 2,3777696,20180516,117,"[4, 8, 7, 9]",https://movie-phinf.pstatic.net/20180510_219/1525934615322rulbv_JPEG/movie_image.jpg,19,"[812, 845, 386, 100]"
158,토니스토리2: 고철왕국의 친구들,12415,20180613,81,"[20, 7, 8]",https://movie-phinf.pstatic.net/20180523_48/1527053492167sL1ou_JPEG/movie_image.jpg,0,"[764, 1309, 427]"
159,어벤져스: 인피니티 워,11176953,20180425,149,"[4, 8, 6, 9]",https://movie-phinf.pstatic.net/20190417_250/1555465284425i6WQE_JPEG/movie_image.jpg,12,"[1115, 845, 151, 655, 794, 481, 1240, 1145, 938, 549, 1253, 1279, 607, 1029, 164, 1050, 1239, 402, 899, 1379, 1281, 315, 713, 1390, 934, 1009]"
160,벅스 프렌즈,27390,20180606,75,[20],https://movie-phinf.pstatic.net/20180521_274/1526867092688JsJsG_PNG/movie_image.jpg,0,"[384, 500, 1232, 433, 1021, 1209]"
161,트루스 오어 데어,309313,20180522,99,"[0, 10]",https://movie-phinf.pstatic.net/20180503_37/1525332298689zgK17_JPEG/movie_image.jpg,15,"[723, 1108, 1054, 336]"
162,버닝,521670,20180517,147,[5],https://movie-phinf.pstatic.net/20190423_40/1555986163021LixpP_JPEG/movie_image.jpg,19,"[504, 625, 786, 50, 635, 643, 895]"
163,한 솔로: 스타워즈 스토리,202950,20180524,135,"[4, 9]",https://movie-phinf.pstatic.net/20180502_152/1525236795343DwkFq_JPEG/movie_image.jpg,12,"[839, 191, 607, 255, 254]"
164,피터 래빗,364637,20180516,94,"[20, 11]",https://movie-phinf.pstatic.net/20180518_184/1526623828589VITpW_JPEG/movie_image.jpg,0,"[469, 466, 378]"
165,데자뷰,41906,20180530,86,"[5, 10]",https://movie-phinf.pstatic.net/20180515_44/1526351780039YjUA0_JPEG/movie_image.jpg,15,"[1385, 189, 65, 563, 96, 679]"
166,"스탠바이, 웬디",30268,20180530,93,[2],https://movie-phinf.pstatic.net/20180511_35/1525999995668PFOx3_JPEG/movie_image.jpg,0,"[676, 1339, 1293]"
167,"안녕, 나의 소녀",106529,20180516,104,[18],https://movie-phinf.pstatic.net/20181122_241/1542868683973Xju2P_JPEG/movie_image.jpg,12,"[405, 480]"
168,레슬러,765736,20180509,109,"[2, 7]",https://movie-phinf.pstatic.net/20180430_206/1525051757819QHWi9_JPEG/movie_image.jpg,15,"[1027, 1224, 1330, 86, 518, 377, 888, 888, 860]"
169,위 베어 베어스: 베이비 베어스,13114,20180524,70,"[20, 2, 11]",https://movie-phinf.pstatic.net/20180504_268/1525395183876veCxx_JPEG/movie_image.jpg,0,[]
170,챔피언,1117539,20180501,108,[2],https://movie-phinf.pstatic.net/20180424_250/152454601292350zFi_JPEG/movie_image.jpg,12,"[264, 287, 40, 769, 927, 927]"
171,마징가 Z: 인피니티,13924,20180517,94,"[20, 9, 4]",https://movie-phinf.pstatic.net/20180417_225/1523930313556afily_JPEG/movie_image.jpg,12,"[749, 1046, 872, 1280, 1201, 944, 406, 368, 975]"
172,당갈,97632,20180425,160,"[4, 2]",https://movie-phinf.pstatic.net/20180329_2/1522287706725roSen_JPEG/movie_image.jpg,12,"[581, 479, 1282]"
173,"부르고뉴, 와인에서 찾은 인생",37969,20180503,113,[2],https://movie-phinf.pstatic.net/20180329_86/15222913978589Grqo_JPEG/movie_image.jpg,15,"[659, 799, 281]"
174,커다랗고 커다랗고 커다란 배,89577,20180503,77,[20],https://movie-phinf.pstatic.net/20180503_159/1525310642058XSEAK_JPEG/movie_image.jpg,0,"[948, 1458, 500]"
175,얼리맨,116005,20180503,88,[20],https://movie-phinf.pstatic.net/20180411_246/1523414217582F8Pd4_JPEG/movie_image.jpg,0,"[426, 655, 262]"
176,루비 스팍스,18699,20180510,104,"[7, 6]",https://movie-phinf.pstatic.net/20180425_102/1524623509141xMu6L_JPEG/movie_image.jpg,15,"[279, 108]"
177,"그날, 바다",534665,20180412,110,[17],https://movie-phinf.pstatic.net/20180409_216/1523237427824JU3OT_JPEG/movie_image.jpg,15,"[266, 1262, 978, 653]"
178,매직빈,53877,20180503,72,[20],https://movie-phinf.pstatic.net/20180330_204/1522374634993BacMI_JPEG/movie_image.jpg,0,"[985, 18, 1021]"
179,레오나르도 다 빈치,51218,20180426,82,[20],https://movie-phinf.pstatic.net/20180416_94/1523846307814mauUM_JPEG/movie_image.jpg,0,"[1394, 889, 350, 18, 1232, 333]"
